tournament: 28800, best_winning_streak: 277, mean_duration: 667.1, stdev: 118.23455501671243
tournament: 28900, best_winning_streak: 278, mean_duration: 703.56, stdev: 116.37786043745605
tournament: 29000, best_winning_streak: 279, mean_duration: 683.18, stdev: 122.39275958977309
tournament: 29100, best_winning_streak: 279, mean_duration: 673.56, stdev: 115.76288869927184
tournament: 29200, best_winning_streak: 280, mean_duration: 684.36, stdev: 119.81865631027583
tournament: 29300, best_winning_streak: 282, mean_duration: 660.15, stdev: 132.0596361497335
tournament: 29400, best_winning_streak: 284, mean_duration: 699.4, stdev: 111.21888328876531
tournament: 29500, best_winning_streak: 286, mean_duration: 693.05, stdev: 107.4536527997071
tournament: 29600, best_winning_streak: 286, mean_duration: 687.63, stdev: 114.98936081220732
tournament: 29700, best_winning_streak: 284, mean_duration: 679.05, stdev: 111.58354493382974
tournament: 29800, best_winning_streak: 287, mean_duration: 657.79, stdev: 113.52271094366978
tournament: 29900, best_winning_streak: 286, mean_duration: 673.66, stdev: 115.47824210646783
tournament: 30000, best_winning_streak: 287, mean_duration: 685.65, stdev: 110.00048863527834
tournament: 30100, best_winning_streak: 289, mean_duration: 658.1, stdev: 126.36118866170894
tournament: 30200, best_winning_streak: 289, mean_duration: 670.29, stdev: 120.20701269060802
tournament: 30300, best_winning_streak: 289, mean_duration: 681.05, stdev: 108.45942789817768
tournament: 30400, best_winning_streak: 290, mean_duration: 674.81, stdev: 114.75275116527706
tournament: 30500, best_winning_streak: 292, mean_duration: 665.96, stdev: 125.17227488545538
tournament: 30600, best_winning_streak: 294, mean_duration: 667.84, stdev: 111.5264739871211
tournament: 30700, best_winning_streak: 295, mean_duration: 669.76, stdev: 115.13323759887932
tournament: 30800, best_winning_streak: 296, mean_duration: 680.94, stdev: 120.90531998220759
tournament: 30900, best_winning_streak: 297, mean_duration: 669.54, stdev: 119.29940653666304
tournament: 31000, best_winning_streak: 297, mean_duration: 670.44, stdev: 110.21454713421454
tournament: 31100, best_winning_streak: 297, mean_duration: 657.94, stdev: 117.67215643473183
tournament: 31200, best_winning_streak: 298, mean_duration: 686.29, stdev: 115.59448905549087
